장소,상태,위치,점자블록상태,포장상태상태,건물진입로상태
518민주화운동기록관,긴급조치,북쪽,양호,,양호
GS25금남센터시티점,양호,북쪽,,,양호
NH농협은행,개선(장기),북쪽,,,개선(장기)
NH투자증권,긴급조치,북쪽,양호,,양호
SC제일은행,긴급조치,북쪽,개선(장기),긴급조치,개선(장기)
SKT,긴급조치,북쪽,긴급조치,,개선(장기)
SK브로드밴드,개선(장기),북쪽,,,개선(장기)
TUVA,긴급조치,북쪽,양호,,양호
광주시립미술관,긴급조치,북쪽,,,긴급조치
금고제작소,개선(장기),북쪽,,,개선(장기)
금남로공원,양호,북쪽,양호,,개선(장기)
노스페이스,긴급조치,북쪽,양호,,양호
대한치과,개선(장기),북쪽,,,개선(장기)
루이까스텔,개선(장기),북쪽,개선(장기),,개선(장기)
무등빌딩,개선(장기),북쪽,양호,,개선(장기)
센스플라워,개선(장기),북쪽,,,개선(장기)
아성빌딩,개선(장기),북쪽,,,개선(장기)
아이스마트,개선(장기),북쪽,,,개선(장기)
엘리베이터,긴급조치,북쪽,양호,긴급조치,개선(장기)
유광빌딩,긴급조치,북쪽,,긴급조치,개선(장기)
전일빌딩,긴급조치,북쪽,양호,긴급조치,양호
천하주차장,개선(장기),북쪽,,,양호
토탈공인중개사사무소,긴급조치,북쪽,,,개선(장기)
투썸플레이스,양호,북쪽,양호,,양호
풀덤,양호,북쪽,,,양호
하나은행,개선(장기),북쪽,양호,,개선(장기)
한국투자증권,긴급조치,북쪽,양호,긴급조치,개선(장기)
흥국화재빌딩,양호,북쪽,양호,,양호
