장소,유효폭
투썸플레이스,1.5
금남로공원,3.6
금남로공원,2.4
금남로공원,9.0
금남로공원,3.7
금남로공원,2.3
금남로공원,2.3
투썸플레이스,1.9
투썸플레이스,3.4
투썸플레이스,2.9
투썸플레이스,1.4
금남로공원,1.5
금남로공원,1.2
SC제일은행,1.5
SC제일은행,1.0
SC제일은행,1.1
SC제일은행,4.3
SC제일은행,1.5
우리은행,1.9
우리은행,0.9
우리은행,2.2
우리은행,1.0
우리은행,4.5
우리은행,1.5
흥국화재빌딩,1.5
흥국화재빌딩,2.0
흥국화재빌딩,3.6
금고제작소,1.0
SKT,1.8
YMCA,0.9
YMCA,0.9
YMCA,3.9
YMCA,3.8
YMCA,4.1
풀덤,1.2
노스페이스,1.4
노스페이스,6.9
노스페이스,5.3
노스페이스,1.1
천하주차장,1.3
YMCA,3.4
YMCA,3.4
YMCA,0.9
유광빌딩,0.9
유광빌딩,1.4
유광빌딩,1.3
유광빌딩,1.2
아성빌딩,1.6
아성빌딩,1.4
아성빌딩,1.5
무등빌딩,1.5
무등빌딩,4.5
무등빌딩,0.95
TUVA,3.7
TUVA,1.3
TUVA,4.3
TUVA,1.5
SKT,1.5
SK브로드밴드,2.2
SK브로드밴드,0.8
SK브로드밴드,4.5
NH농협은행,4.1
NH농협은행,1.8
NH농협은행,2.1
네이버스퀘어광주,1.5
네이버스퀘어광주,3.6
518민주화운동기록관,1.4
518민주화운동기록관,3.2
518민주화운동기록관,1.1
NH투자증권,1.1
NH투자증권,1.8
NH투자증권,1.8
루이까스텔,3.7
루이까스텔,1.8
대한치과,1.9
토탈공인중개사사무소,0.7
토탈공인중개사사무소,1.6
토탈공인중개사사무소,1.8
커피리나,0.9
광주시립미술관,3.0
센스플라워,0.9
센스플라워,1.7
센스플라워,2.2
아이스마트,1.8
GS25금남센터시티점,1.6
GS25금남센터시티점,1.7
GS25금남센터시티점,5.7
한국투자증권,0.8
한국투자증권,4.0
한국투자증권,1.7
한국투자증권,1.1
하나은행,1.6
하나은행,1.2
하나은행,2.4
하나은행,1.0
전일빌딩,1.9
엘리베이터,1.5
전일빌딩,5.1
센스플라워,5.3
토탈공인중개사사무소,4.1
SKT,2.1
센스플라워,0.7
아이스마트,1.8
